주제,내용,길이
BTS의 개요,2013년 6월 13일에 데뷔한 대한민국의 7인조 보이그룹이다.,35
BTS의 위상 및 인기,"2013년 6월 13일 싱글 앨범 《2 COOL 4 SKOOL》로 데뷔하여 그 해 주목 받는 신인으로 부상하여 신인상을 받았으며, 2014년 '상남자 (Boy In Luv)'가 인기를 끌어 첫 음악방송 1위 후보에도 올랐었고 처음 참여했던 LA KCON 무대에서도 환호를 받아 미국에서 좋은 반응을 얻는 단초가 됐다. 2015년 '화양연화' 앨범 시리즈 활동으로 인기가 오르며 첫 음악방송 1위도 했고, 2016년 정규 앨범 2집 《WINGS》도 큰 인기를 끌어서 첫 대상을 수상했으며 2017년 'LOVE YOURSELF' 시리즈부터 빌보드 핫 100에 진입했다. 2017년 BBMA 'Top Social Artist'상 수상을 시작으로 국내외에서 수많은 기록들을[13] 세우며 이름을 알리고 있고 그동안 K-POP이 잘 알려지지 않았던 아메리카, 유럽에서도 인기를 끌고 있다.",436
BTS의 위상 및 인기2," 2020년 9월에는 'Dynamite'로 한국 가수 최초로 빌보드 핫 100 1위를 달성했으며, 멜론 차트 역사상 최장 기간 1위를 달성하고, K-POP 최초로 그래미 어워드에 노미네이트 및 단독 무대도 했고, 2020년 11월 《BE》와 'Life Goes On'으로 빌보드 메인 차트인 Hot 100(싱글)과 200(앨범) 1위를 동시에 석권했으며 빌보드 62년 역사상 최초로 한국어 곡으로 빌보드 Hot 100 1위를 하는 등 수많은 업적을 달성하고 있다.",259
BTS의 위상 및 인기3,"흔히 말하는 '중소 기획사의 기적'의 대표주자이다.[14][15] 방탄소년단을 키워낸 빅히트 뮤직(HYBE)은 이러한 성과로 국내 4대 대형 기획사가 되었다. 방탄소년단은 해외를 염두에 두고 기획된 아이돌이 아닌데도 불구하고[16] 2017년부터 유튜브나 빌보드, 아이튠즈, UK 차트, 오리콘 등 해외 인기 관련 기록들에서 K-POP 가수 최대의 아웃풋을 내었다. 2018년에 '건국 이래 최초로 대중문화계 한 부문 세계 1위에 오른 한국인'이라는 기사가 나왔으며, 2019에는 미국, 영국을 포함한 서구권에서 먼저 '21세기 비틀즈'라는 찬사를 받았다.[17] ",316
BTS의 위상 및 인기4,"2020년에 미국 시사주간지 타임에서 '올해의 연예인'에 선정되었고 국내, 해외를 통틀어 K-POP 관련 기록 경신에 선두를 달리고 있으며, 2021년 '해외 아티스트 최초'로 일본 오리콘 차트 세일즈 부문 토탈 랭킹에서 연간 1위를 차지했으며, '해외 밴드'로는 최초이자 '해외 가수'로는 마이클 잭슨의 Thriller 이후 37년 만에 오리콘 앨범 판매량 연간 1위를 차지했다. 국제음반산업협회에서 '전 세계 음악 시장 매출 1위가 방탄소년단'이라는 글로벌 뮤직 보고서를 발표했다.",271
BTS의 위상 및 인기5,"2019년 10월 포브스에서 GDP 5.5조 원 규모를 창출하는 방탄소년단의 경제효과에 대해 주목하는 기사가 보도되었다. 또한 'Dynamite'로 빌보드 핫 100 1위를 함으로써 대한민국에 가져다주는 경제 효과는 최소 1조 7천억 원이라고 밝혀졌으며, 여러 언론에서 방탄소년단을 '걸어다니는 대기업'이라고 표현하기도 한다. 2021년 기준 현대경제연구원 보고서에 따르면 방탄소년단이 매년 한국에 50억 달러(약 5조 7천억원)의 경제적 이익을 가져다 주고 있다고 밝혔으며, NPR은 방탄소년단이 한국 문화에 대한 학습과 기부 등에도 파급 효과를 이끌어내고 있다고 전달했다.
2023년 1월 28일 기준, 모든 멤버의 솔로곡들[18]이 빌보드 핫 100에 공식적으로 차트인을 했다. 관련 기사 이는 K-POP 밴드 최초이자 최고 기록이다.",414
BTS의 멤버,"진, 슈가, 제이홉, RM, 지민, 뷔, 정국",25
BTS의 그룹명,"방탄소년단(防彈少年團)이란 이름에서 방탄은 ‘총알을 막아낸다’라는 뜻이 있다. ""10대들이 살아가면서 겪는 힘든 일, 편견과 억압을 우리가 막아내겠다는 심오한 뜻을 담아냈다""고 밝혔다.",103
BTS의 정체성1,"방탄소년단은 본래 힙합 음악을 컨셉으로 꾸려졌던 음악 밴드다. 결성 초기에는 RM을 중심으로[21] 힙합 밴드로 데뷔하려 했으며, 안무보다는 노래와 랩에 집중하는 콘셉트를 가지고 있었다고 한다.[22] 빈지노[23], 베이식, 아이언[24], 레디, 로꼬[25] 등 현재 활동하는 유명 래퍼를 비롯해 약 30여 명의 연습생이 프로젝트를 거쳐갔으며, 컨셉트의 상당한 변경을 겪고 나서 지금의 아이돌 밴드 형식이 되었다.[26] 이미 래퍼로서의 경력이 있던 래퍼 라인의 실력이 상당히 좋다고 평가되기도 하고, 곡 전반적으로도 랩의 비중이 상당히 높다. ",307
BTS의 정체성2,"그리고 대부분의 멤버가 작사·작곡 능력을 갖추고 있어 싱어송라이터로서의 면모를 보인다. 초창기에는 작사·작곡 기량은 아직 부족한 점이 많다는 평가를 받았다. 그렇지만 슈가, 제이홉, RM 래퍼 라인 세 명은 항상 작사·작곡 크레딧에 자신들의 이름을 빠뜨리지 않았으며, 2015년부터 2016년까지 진행된 화양연화 시리즈에서는 보컬 라인인 진, 지민, 뷔, 정국의 이름도 작사·작곡 크레딧에 올랐다. 2017년 앨범인 《YOU NEVER WALK ALONE》에서는 RM이 프로듀싱에 참여하여 작사와 코러스, 후렴 부분의 작곡을 맡은 '봄날'로 활동했으며, 현재는 모든 멤버가 작사 또는 작곡이 가능할 정도로 음악적으로 성장했다.",350
BTS의 정체성3,"앨범의 콘셉트와 뮤직비디오 그리고 가사에 문학이나 영화 대사를 참조한(또는 그러한 것으로 보이는) 부분이 많다. 《화양연화 pt.1》, 《화양연화 pt.2》, 《화양연화 Young Forever》 앨범 시리즈에서는 영화 〈화양연화〉를, 《WINGS》 앨범에서는 헤르만 헤세의 소설 〈데미안〉을 각각 테마로 잡아 세계관을 구축한 것이 그 사례이다. 봄날 뮤직비디오에 등장하는 여관 오멜라스는 어슐러 K. 르 귄의 단편 소설 〈오멜라스를 떠나는 사람들〉에서 따왔다. 이외에도 가사 곳곳에 문학 구절과 영화 대사를 차용한 것들로 보이는 부분이 있다. 단적으로 눈에 띄는 예시를 몇 개 꼽아보자면 'Serendipity'에서 사용한 김춘수의 〈꽃〉[27], 'Pied Piper'에서 등장하는 영화 〈아가씨〉의 대사[28], FESTA 2017의 네시(4 o'clock) 가사에 등장하는 영화 〈문라이트〉의 대사[29] 등이 있다.",461
BTS의 정체성4,"퍼포먼스 또한 방탄소년단이 주목받게 된 큰 요인 중 하나다. 빅히트 엔터테인먼트의 안무가 손성득이 전 안무를 관장하고 있다. 주목을 받기 이전인 데뷔 초부터 꾸준하게 난이도가 높은 안무를 보여주고 있다. 두 명의 메인 댄서 제이홉과 지민을 필두로 한 댄스 라인[30]이 각기 다른 스타일로 격한 안무를 소화해 내며 센터를 비교적 고르게 번갈아 차지한다. 안무의 높은 퀄리티 덕분에 학교 축제나 길거리에서 '상남자 (Boy In Luv)', 'I NEED U', '쩔어', '불타오르네' 등의 방탄소년단 커버 공연들을 굉장히 많이 볼 수 있다.",303
